path,target
/home/xkukht01/Dev/SUR/data/target_train/m431_02_p01_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_train/m431_02_p03_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_train/m431_02_r07_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_train/m431_02_r10_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_train/m431_02_p04_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_train/m431_02_r06_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_train/m431_02_r09_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_train/m431_02_p02_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_train/m431_02_p05_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_train/m431_02_r08_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_p02_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_r06_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_p04_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_p05_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_r08_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_r07_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_p03_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_r09_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_r10_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/target_dev/m431_03_p01_i0_0.wav,1
/home/xkukht01/Dev/SUR/data/non_target_train/m416_02_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f405_01_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f401_04_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f402_03_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m422_03_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f406_05_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f402_04_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f406_04_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m419_01_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f406_02_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m422_04_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m422_01_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m419_03_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f406_02_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f405_05_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f406_03_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m414_01_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f406_04_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f402_02_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m416_02_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f404_05_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f402_03_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f403_03_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f406_01_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m414_03_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f406_06_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f405_02_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f402_04_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m422_04_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f405_02_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f402_05_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m420_04_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m420_03_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m417_02_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m419_01_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f404_02_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m414_04_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f402_01_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f402_05_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f403_02_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m420_03_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m419_03_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m420_01_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m421_04_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m421_04_f16_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f404_02_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/m416_03_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f403_03_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f404_04_r08_i0_0.wav,0
/home/xkukht01/Dev/SUR/data/non_target_train/f406_06_r08_i0_0.wav,0
